shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_beta,bgk_shift,correction_order,reference_value,raw_discrete_value,corrected_value,rel_error
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,2,-0.596145205940274,-0.5955505066532434,-0.5961452059379847,3.840138030073211e-12
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,4,-0.596145205940274,-0.5955505066532434,-0.5961452059402724,2.6072712134347702e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,8,-0.596145205940274,-0.5955505066532434,-0.5961452059402724,2.6072712134347702e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,16,-0.596145205940274,-0.5955505066532434,-0.5961452059402724,2.6072712134347702e-15
perturbed_ellipse,smooth anisotropic finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,0,1.0422622791870901,1.0618402756643162,1.0618402756643162,0.018784136074171114
perturbed_ellipse,smooth anisotropic finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,1,1.0422622791870901,1.0618402756643162,1.042291215572414,2.77630553284843e-05
perturbed_ellipse,smooth anisotropic finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,2,1.0422622791870901,1.0618402756643162,1.042262340061691,5.840622090163151e-08
perturbed_ellipse,smooth anisotropic finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,4,1.0422622791870901,1.0618402756643162,1.0422622791873215,2.2198872870304723e-13
perturbed_ellipse,smooth anisotropic finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,8,1.0422622791870901,1.0618402756643162,1.0422622791870944,4.04777912222447e-15
perturbed_ellipse,smooth anisotropic finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,16,1.0422622791870901,1.0618402756643162,1.0422622791870944,4.04777912222447e-15
perturbed_ellipse,smooth anisotropic finite Laurent map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,0,1.0422622791870901,1.0520585191396838,1.0520585191396838,0.009399016109682357
