shape,family,n,operation,ms,build_ms,work_units_reported,fft_work_units_estimate,generated_q_residual,dense_q_matrix_stored
asymmetric_limaçon,asymmetric,4096,pde_poisson,8.139292011037469,65.76300004962832,4096,49152,5.947206160698825e-14,False
asymmetric_limaçon,asymmetric,4096,pde_helmholtz,8.172707981429994,65.76300004962832,4096,49152,5.949982945127085e-14,False
asymmetric_limaçon,asymmetric,4096,pde_wave,8.249584003351629,65.76300004962832,4096,49152,5.963420112697772e-14,False
asymmetric_limaçon,asymmetric,4096,q_bgk4,29.37641693279147,0.0,49152,49152,2.6290773478394023e-13,False
asymmetric_limaçon,asymmetric,4096,pde_batch_all5,41.1378761054948,65.76300004962832,20480,245760,3.5721784573281422e-12,False
crescent_teardrop,near_cusp_smooth,256,pde_laplace_dtn,0.47962507233023643,4.256875021383166,256,2048,2.8137574566408036e-14,False
crescent_teardrop,near_cusp_smooth,256,pde_heat,0.4504160024225712,4.256875021383166,256,2048,6.535229694528463e-15,False
crescent_teardrop,near_cusp_smooth,256,pde_poisson,0.4372919211164117,4.256875021383166,256,2048,6.5567993742798864e-15,False
crescent_teardrop,near_cusp_smooth,256,pde_helmholtz,0.4426670493558049,4.256875021383166,256,2048,6.5746063977243655e-15,False
crescent_teardrop,near_cusp_smooth,256,pde_wave,0.44216704554855824,4.256875021383166,256,2048,6.517710887362198e-15,False
crescent_teardrop,near_cusp_smooth,256,q_bgk4,1.7911250470206141,0.0,2048,2048,4.237696642115279e-15,False
crescent_teardrop,near_cusp_smooth,256,pde_batch_all5,2.2521670907735825,4.256875021383166,1280,10240,2.8137574566408036e-14,False
crescent_teardrop,near_cusp_smooth,512,pde_laplace_dtn,0.9402499999850988,8.241834002546966,512,4608,6.975962595035396e-14,False
crescent_teardrop,near_cusp_smooth,512,pde_heat,0.9007499320432544,8.241834002546966,512,4608,1.2387223989318853e-14,False
crescent_teardrop,near_cusp_smooth,512,pde_poisson,0.8944999426603317,8.241834002546966,512,4608,1.2282178312589265e-14,False
crescent_teardrop,near_cusp_smooth,512,pde_helmholtz,0.8906670846045017,8.241834002546966,512,4608,1.2378406212799454e-14,False
crescent_teardrop,near_cusp_smooth,512,pde_wave,0.9192080469802022,8.241834002546966,512,4608,1.2490605523502077e-14,False
crescent_teardrop,near_cusp_smooth,512,q_bgk4,3.655708977021277,0.0,4608,4608,4.0450740674736754e-15,False
crescent_teardrop,near_cusp_smooth,512,pde_batch_all5,4.545375006273389,8.241834002546966,2560,23040,6.975962595035396e-14,False
crescent_teardrop,near_cusp_smooth,1024,pde_laplace_dtn,1.9021669868379831,16.285874997265637,1024,10240,2.192320430304483e-13,False
crescent_teardrop,near_cusp_smooth,1024,pde_heat,1.8627919489517808,16.285874997265637,1024,10240,2.3347882234590553e-14,False
crescent_teardrop,near_cusp_smooth,1024,pde_poisson,1.826833002269268,16.285874997265637,1024,10240,2.330766330806144e-14,False
crescent_teardrop,near_cusp_smooth,1024,pde_helmholtz,1.839083037339151,16.285874997265637,1024,10240,2.3317520601272852e-14,False
crescent_teardrop,near_cusp_smooth,1024,pde_wave,1.8662919756025076,16.285874997265637,1024,10240,2.3377741542790605e-14,False
crescent_teardrop,near_cusp_smooth,1024,q_bgk4,7.229874958284199,0.0,10240,10240,4.622941791398486e-15,False
crescent_teardrop,near_cusp_smooth,1024,pde_batch_all5,9.29716695100069,16.285874997265637,5120,51200,2.192320430304483e-13,False
crescent_teardrop,near_cusp_smooth,2048,pde_laplace_dtn,3.916083020158112,32.88320801220834,2048,22528,5.744619248322913e-13,False
crescent_teardrop,near_cusp_smooth,2048,pde_heat,3.8635419914498925,32.88320801220834,2048,22528,4.361495888494168e-15,False
crescent_teardrop,near_cusp_smooth,2048,pde_poisson,3.8186669116839767,32.88320801220834,2048,22528,4.473466952772953e-15,False
crescent_teardrop,near_cusp_smooth,2048,pde_helmholtz,3.968707984313369,32.88320801220834,2048,22528,4.368601439145159e-15,False
